"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-10-0-0-109.ec2.internal",,,,"User:","simulator"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator-0.12-SNAPSHOT/workers/2020-06-03__11_13_44/A1_dstat.csv 5",,,,"Date:","03 Jun 2020 08:14:11 UTC"

"epoch","memory usage",,,,"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
1591172096.175,456138752.0,2138112.0,1043652608.0,72255750144.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,28.600,13.200,0.0,0.0,55.600,111.200,0.070,0.080,0.440
1591172101.175,456138752.0,2138112.0,1043652608.0,72255750144.0,0.006,0.0,99.994,0.0,0.0,0.0,0.0,0.0,18.0,33.400,0.0,0.0,234.200,132.200,0.070,0.080,0.440
1591172106.175,456105984.0,2138112.0,1043652608.0,72255782912.0,0.0,0.0,99.994,0.006,0.0,0.0,0.0,68812.800,15.400,13.200,0.0,0.0,68.600,150.800,0.060,0.070,0.430
1591172111.175,456101888.0,2138112.0,1043656704.0,72255782912.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,58163.200,0.0,15.400,0.0,0.0,64.600,132.400,0.060,0.070,0.430
1591172116.175,456110080.0,2138112.0,1043656704.0,72255774720.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,42.800,33.0,0.0,0.0,59.200,111.800,0.050,0.070,0.430
1591172121.175,456110080.0,2138112.0,1043656704.0,72255774720.0,0.006,0.0,99.994,0.0,0.0,0.0,0.0,1638.400,30.0,67.0,0.0,0.0,238.400,134.0,0.050,0.070,0.430
1591172126.175,456110080.0,2138112.0,1043656704.0,72255774720.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,40.600,24.0,0.0,0.0,63.800,126.800,0.040,0.070,0.430
1591172131.175,456110080.0,2138112.0,1043656704.0,72255774720.0,0.0,0.006,99.994,0.0,0.0,0.0,0.0,0.0,20.400,34.600,0.0,0.0,57.400,124.800,0.040,0.070,0.420
1591172136.175,456110080.0,2138112.0,1043656704.0,72255774720.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,70.600,42.0,0.0,0.0,230.800,122.400,0.040,0.070,0.420
1591172141.175,456105984.0,2138112.0,1043660800.0,72255774720.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.400,0.0,0.0,64.400,145.0,0.030,0.060,0.420
1591172146.175,456105984.0,2138112.0,1043660800.0,72255774720.0,0.006,0.0,99.994,0.0,0.0,0.0,0.0,40550.400,67.400,45.600,0.0,0.0,70.800,128.600,0.030,0.060,0.420
1591172151.175,456105984.0,2138112.0,1043660800.0,72255774720.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,18.0,33.400,0.0,0.0,226.400,118.600,0.030,0.060,0.410
1591172156.175,456105984.0,2138112.0,1043660800.0,72255774720.0,0.006,0.0,99.994,0.0,0.0,0.0,0.0,49152.0,28.600,13.200,0.0,0.0,65.400,129.200,0.020,0.060,0.410
1591172161.175,456105984.0,2138112.0,1043660800.0,72255774720.0,0.0,0.006,99.994,0.0,0.0,0.0,0.0,0.0,0.0,15.400,0.0,0.0,61.800,131.400,0.020,0.060,0.410
1591172166.175,456097792.0,2138112.0,1043668992.0,72255774720.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,46.600,31.200,0.0,0.0,231.0,138.600,0.020,0.060,0.410
1591172171.175,456097792.0,2138112.0,1043668992.0,72255774720.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.400,0.0,0.0,57.400,131.0,0.020,0.060,0.400
1591172176.175,456097792.0,2138112.0,1043668992.0,72255774720.0,0.006,0.0,99.994,0.0,0.0,0.0,0.0,7372.800,41.800,24.0,0.0,0.0,60.800,115.600,0.020,0.060,0.400
1591172181.175,456097792.0,2138112.0,1043668992.0,72255774720.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,48.0,37.0,0.0,0.0,65.800,132.600,0.020,0.050,0.400
1591172186.175,456097792.0,2138112.0,1043668992.0,72255774720.0,0.0,0.006,99.994,0.0,0.0,0.0,0.0,3276.800,55.0,39.600,0.0,0.0,233.600,122.400,0.010,0.050,0.400
1591172191.175,762871808.0,2138112.0,1043881984.0,71948787712.0,1.546,0.445,98.009,0.0,0.0,0.0,0.0,4915.200,2796.0,237.0,0.0,0.0,31058.800,7973.200,0.090,0.070,0.400
1591172196.175,768061440.0,2138112.0,1044013056.0,71943467008.0,1.100,1.856,97.038,0.0,0.0,0.006,0.0,9830.400,728.200,953.400,0.0,0.0,210738.600,1446.200,0.170,0.080,0.400
1591172201.175,780132352.0,2138112.0,1044135936.0,71931273216.0,1.022,1.900,97.077,0.0,0.0,0.0,0.0,0.0,1058.200,3904.200,0.0,0.0,210903.800,825.400,0.230,0.100,0.410
1591172206.175,1454919680.0,2138112.0,1044254720.0,71256367104.0,5.017,3.301,91.435,0.0,0.0,0.247,0.0,9830.400,31013237.800,17891907.200,0.0,0.0,250373.800,218759.200,0.850,0.230,0.450
1591172211.173,1769443328.0,2138112.0,1044373504.0,70941724672.0,8.431,7.559,83.689,0.0,0.0,0.321,0.0,0.0,45810458.200,93691346.600,0.0,0.0,356821.0,929442.800,1.270,0.330,0.480
1591172216.173,1810153472.0,2138112.0,1044496384.0,70900891648.0,8.630,7.556,83.435,0.0,0.0,0.379,0.0,0.0,45852735.800,92959774.800,0.0,0.0,359492.200,928832.200,1.650,0.420,0.510
1591172221.173,2061062144.0,2138112.0,1044615168.0,70649864192.0,7.721,7.446,84.465,0.0,0.0,0.368,0.0,47513.600,45432208.200,91869315.400,0.0,0.0,356544.400,920783.800,2.080,0.530,0.540
1591172226.175,2073620480.0,2138112.0,1044742144.0,70637178880.0,7.972,7.628,84.004,0.0,0.0,0.396,0.0,344064.0,45799258.400,93359990.800,0.0,0.0,359181.600,926208.200,2.470,0.640,0.580
1591172231.173,2092900352.0,2138112.0,1044860928.0,70617780224.0,8.233,7.672,83.694,0.006,0.0,0.395,0.0,62259.200,46109929.400,94157393.400,0.0,0.0,355964.0,934773.400,2.910,0.760,0.620
1591172236.175,2093379584.0,2138112.0,1044979712.0,70617182208.0,7.926,7.433,84.279,0.0,0.0,0.362,0.0,42188.800,45996067.400,93627858.800,0.0,0.0,361119.600,935125.200,3.160,0.850,0.650
1591172241.175,2098917376.0,2138112.0,1045102592.0,70611521536.0,8.168,7.567,83.876,0.0,0.0,0.389,0.0,0.0,46162797.800,94061174.600,0.0,0.0,360672.400,937414.200,3.470,0.950,0.680
1591172246.173,2100019200.0,2138112.0,1045221376.0,70610300928.0,7.958,7.586,84.096,0.0,0.0,0.361,0.0,0.0,46098176.0,93881073.400,0.0,0.0,354997.400,935160.400,3.590,1.020,0.700
1591172251.175,2103984128.0,2138112.0,1045348352.0,70606209024.0,7.986,7.695,83.937,0.0,0.0,0.382,0.0,9830.400,45983535.400,93594159.200,0.0,0.0,359162.400,934116.800,3.700,1.090,0.730
1591172256.175,2125996032.0,2138112.0,1045467136.0,70584078336.0,7.725,7.610,84.264,0.0,0.0,0.401,0.0,353894.400,46010661.200,93704677.800,0.0,0.0,358017.800,935269.400,4.050,1.200,0.770
1591172261.173,2127806464.0,2138112.0,1045594112.0,70582140928.0,7.887,7.387,84.329,0.0,0.0,0.396,0.0,1638.400,46354938.0,94452292.600,0.0,0.0,361447.400,943190.200,4.530,1.350,0.820
1591172266.175,2127532032.0,2138112.0,1045712896.0,70582296576.0,7.693,7.325,84.539,0.0,0.0,0.442,0.0,30924.800,45645913.400,93191407.200,0.0,0.0,359476.600,928988.400,4.480,1.390,0.830
1591172271.175,2129063936.0,2138112.0,1045835776.0,70580641792.0,0.911,1.922,97.167,0.0,0.0,0.0,0.0,0.0,99.600,81.800,0.0,0.0,209839.200,430.0,4.200,1.380,0.840
1591172276.175,2130087936.0,2138112.0,1045962752.0,70579490816.0,0.900,1.950,97.150,0.0,0.0,0.0,0.0,47513.600,249.200,183.200,0.0,0.0,209823.600,620.200,3.950,1.380,0.840
1591172281.175,470720512.0,2138112.0,1045942272.0,72238878720.0,0.678,1.284,98.038,0.0,0.0,0.0,0.0,0.0,250.400,249.600,0.0,0.0,136285.400,1271.600,3.630,1.350,0.830
1591172286.173,476368896.0,2138112.0,1046007808.0,72233164800.0,0.145,0.072,99.778,0.0,0.0,0.006,0.0,8806.400,5252.800,4395.0,0.0,0.0,650.400,844.800,3.340,1.330,0.830
